Name,Industry,Location,Rationale,Note
Vadodara Chemicals Solutions Pvt Ltd 1,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 2,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 3,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 4,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 5,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 6,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 7,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 8,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 9,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 10,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 11,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 12,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 13,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 14,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 15,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 16,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 17,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 18,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 19,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
